"PaymentID";"CustomerId";"ProductId";"TransactionDate";"CreditCard";"CreditCardNumber"
"3423609";"410";"10121";"2013-02-04T07:24:41";"visaelectron";"4844 6717 6284 5014"
"3423610";"129";"10144";"2013-02-04T09:28:21";"instapayment";"6393 7384 5489 7593"
"3423611";"47";"10131";"2013-02-09T01:48:40";"visaelectron";"4175 0034 1308 9199"
"3423612";"452";"10007";"2013-02-23T08:14:41";"visaelectron";"4844 8717 3509 9661"
"3423613";"487";"10027";"2013-02-21T07:47:04";"visa";"4367 2530 1184 6288"
"3423614";"544";"10301";"2013-02-18T01:49:42";"instapayment";"6381 4556 9947 8519"
"3423615";"529";"10307";"2013-02-23T08:28:11";"amex";"3769 3911 0031 296"
"3423616";"997";"10019";"2013-02-18T07:58:06";"amex";"3776 0350 5380 614"
"3423617";"711";"10095";"2013-02-27T08:21:00";"visa";"4688 2325 2870 5114"
"3423618";"454";"10241";"2013-02-01T03:14:33";"maestro";"6761 5939 4265 3288"
"3423619";"911";"10184";"2013-02-25T03:18:53";"visa";"4837 3180 2497 9327"
"3423620";"102";"10002";"2013-02-22T11:11:45";"mastercard";"5472 2534 7242 2693"
"3423621";"75";"10277";"2013-02-22T09:16:29";"mastercard";"5575 5013 9731 8941"
"3423622";"817";"10261";"2013-02-03T10:40:54";"maestro";"5893 0519 9025 0674"
"3423623";"253";"10020";"2013-02-10T07:02:32";"amex";"3431 8972 0070 272"
"3423624";"726";"10111";"2013-02-16T10:57:39";"instapayment";"6370 0244 1581 9746"
"3423625";"173";"10188";"2013-02-06T08:58:53";"visaelectron";"4844 4992 7664 7787"
"3423626";"304";"10135";"2013-02-01T03:41:35";"amex";"3405 6799 7325 904"
"3423627";"501";"10175";"2013-02-04T07:07:27";"instapayment";"6373 5742 4033 5497"
"3423628";"959";"10271";"2013-02-25T10:37:55";"amex";"3738 7600 3430 743"
"3423629";"809";"10133";"2013-02-07T09:34:49";"visaelectron";"4917 4555 0729 0864"
"3423630";"164";"10230";"2013-02-26T08:38:46";"instapayment";"6394 2372 8782 0400"
"3423631";"18";"10161";"2013-02-09T09:07:06";"amex";"3779 5069 0102 380"
"3423632";"803";"10273";"2013-02-25T05:27:03";"visa";"4398 1444 3621 0130"
"3423633";"724";"10207";"2013-02-07T04:45:21";"amex";"3792 7943 6823 408"
